,lat,lng,offense
362,45.5346,-122.538,Counterfeiting/Forgery
367,45.4924,-122.649,Larceny Offenses
368,45.5046,-122.495,Larceny Offenses
369,45.559,-122.632,Larceny Offenses
370,45.5566,-122.634,Larceny Offenses
371,45.5174,-122.675,Larceny Offenses
372,45.4857,-122.728,Larceny Offenses
373,45.5,-122.685,Larceny Offenses
374,45.5771,-122.695,Larceny Offenses
375,45.5311,-122.657,Larceny Offenses
376,45.508,-122.531,Larceny Offenses
377,45.5067,-122.591,Larceny Offenses
378,45.528,-122.699,Larceny Offenses
379,45.5216,-122.673,Larceny Offenses
380,45.5277,-122.677,Larceny Offenses
381,45.5601,-122.682,Larceny Offenses
382,45.5011,-122.58,Larceny Offenses
383,45.5199,-122.682,Larceny Offenses
384,45.5041,-122.54,Larceny Offenses
385,45.5486,-122.588,Larceny Offenses
386,45.5486,-122.588,Larceny Offenses
387,45.5336,-122.536,Larceny Offenses
388,45.5471,-122.639,Larceny Offenses
389,45.5164,-122.706,Larceny Offenses
390,45.506,-122.503,Larceny Offenses
391,45.5094,-122.674,Larceny Offenses
392,45.5615,-122.786,Larceny Offenses
393,45.5201,-122.692,Larceny Offenses
394,45.5258,-122.534,Larceny Offenses
395,45.4797,-122.554,Larceny Offenses
396,45.4888,-122.559,Larceny Offenses
397,45.481,-122.597,Larceny Offenses
398,45.4801,-122.602,Larceny Offenses
399,45.5241,-122.696,Larceny Offenses
400,45.5262,-122.699,Larceny Offenses
401,45.5725,-122.574,Larceny Offenses
402,45.5234,-122.68,Larceny Offenses
403,45.5021,-122.58,Larceny Offenses
404,45.503,-122.583,Larceny Offenses
405,45.503,-122.583,Larceny Offenses
406,45.5578,-122.655,Larceny Offenses
407,45.47,-122.576,Larceny Offenses
408,45.5207,-122.574,Larceny Offenses
409,45.5431,-122.67,Motor Vehicle Theft
410,45.5813,-122.689,Motor Vehicle Theft
411,45.4776,-122.578,Motor Vehicle Theft
412,45.4885,-122.543,Motor Vehicle Theft
413,45.5034,-122.577,Motor Vehicle Theft
414,45.5042,-122.548,Robbery
415,45.5551,-122.529,Vandalism
416,45.5547,-122.53,Vandalism
418,45.5149,-122.717,Vandalism
419,45.5151,-122.655,Vandalism
420,45.4973,-122.622,Vandalism
421,45.5206,-122.684,Vandalism
422,45.5237,-122.499,Vandalism
424,45.5845,-122.685,Vandalism
425,45.5269,-122.654,Vandalism
426,45.508,-122.531,Vandalism
427,45.5243,-122.699,Vandalism
428,45.5069,-122.684,Vandalism
429,45.508,-122.531,Drug/Narcotic Offenses
431,45.5246,-122.67,Drug/Narcotic Offenses
432,45.5044,-122.567,Drug/Narcotic Offenses
433,45.5191,-122.563,Prostitution Offenses
434,45.5237,-122.499,Weapon Law Violations
